start_grid,start_basegrid_idx,0,1
86,1,POINT (-93.29583867238946 45.02980079712558),0.0
86,2,POINT (-93.29266534522566 45.02755249621628),0.0
86,3,POINT (-93.29266534522566 45.02980079712558),0.1935483870967742
87,0,POINT (-93.29583867238946 45.0320490980349),0.06451612903225806
87,1,POINT (-93.29583867238946 45.03429739894421),0.0967741935483871
87,2,POINT (-93.29266534522566 45.0320490980349),0.0
87,3,POINT (-93.29266534522566 45.03429739894421),0.0967741935483871
88,0,POINT (-93.29583867238946 45.03654569985352),0.06451612903225806
88,1,POINT (-93.29583867238946 45.03879400076283),0.0
88,2,POINT (-93.29266534522566 45.03654569985352),0.0
88,3,POINT (-93.29266534522566 45.03879400076283),0.0
89,0,POINT (-93.28949201806189 44.91064084893208),0.0
89,1,POINT (-93.28949201806189 44.91288914984139),0.0
89,2,POINT (-93.28631869089809 44.91064084893208),0.0
89,3,POINT (-93.28631869089809 44.91288914984139),0.0967741935483871
90,0,POINT (-93.28949201806189 44.91513745075071),0.0
90,1,POINT (-93.28949201806189 44.91738575166001),0.0
90,2,POINT (-93.28631869089809 44.91513745075071),0.1935483870967742
90,3,POINT (-93.28631869089809 44.91738575166001),0.0
91,0,POINT (-93.28949201806189 44.92413065438795),0.2903225806451613
91,1,POINT (-93.28949201806189 44.92637895529726),0.0
91,2,POINT (-93.28631869089809 44.92413065438795),0.0
91,3,POINT (-93.28631869089809 44.92637895529726),0.0
92,0,POINT (-93.28949201806189 44.92862725620657),0.22580645161290322
92,1,POINT (-93.28949201806189 44.93087555711588),0.12903225806451613
92,2,POINT (-93.28631869089809 44.92862725620657),0.0
92,3,POINT (-93.28631869089809 44.93087555711588),0.25806451612903225
93,0,POINT (-93.28949201806189 44.9331238580252),0.0
93,1,POINT (-93.28949201806189 44.9353721589345),0.1935483870967742
93,2,POINT (-93.28631869089809 44.9331238580252),0.1935483870967742
93,3,POINT (-93.28631869089809 44.9353721589345),0.12903225806451613
94,0,POINT (-93.28949201806189 44.93762045984381),2.161290322580645
94,1,POINT (-93.28949201806189 44.93986876075313),0.5806451612903226
94,2,POINT (-93.28631869089809 44.93762045984381),0.3548387096774194
94,3,POINT (-93.28631869089809 44.93986876075313),0.22580645161290322
95,0,POINT (-93.28949201806189 44.94211706166244),0.7419354838709677
95,1,POINT (-93.28949201806189 44.94436536257175),0.6129032258064516
95,2,POINT (-93.28631869089809 44.94211706166244),2.064516129032258
95,3,POINT (-93.28631869089809 44.94436536257175),0.4193548387096774
96,0,POINT (-93.28869868627092 44.94717573870839),8.580645161290322
96,1,POINT (-93.28869868627092 44.94829988916304),9.35483870967742
96,2,POINT (-93.28631869089809 44.94661366348106),1.4516129032258065
96,3,POINT (-93.28631869089809 44.94886196439037),1.5806451612903225
97,0,POINT (-93.28869868627092 44.95054819007235),6.258064516129032
97,1,POINT (-93.28949201806189 44.95335856620899),1.7419354838709675
97,2,POINT (-93.28631869089809 44.95111026529968),2.0
97,3,POINT (-93.28631869089809 44.95335856620899),2.225806451612903
98,0,POINT (-93.28869868627092 44.95504479189098),8.451612903225808
98,1,POINT (-93.28949201806189 44.95785516802761),0.22580645161290322
98,2,POINT (-93.28631869089809 44.95560686711831),1.7741935483870968
98,3,POINT (-93.28631869089809 44.95785516802761),1.7419354838709677
99,0,POINT (-93.28949201806189 44.96010346893694),4.483870967741936
99,1,POINT (-93.28869868627092 44.96178969461891),10.290322580645162
99,2,POINT (-93.28631869089809 44.96010346893694),2.4193548387096775
99,3,POINT (-93.28631869089809 44.96235176984624),1.7741935483870968
100,0,POINT (-93.28949201806189 44.96460007075555),0.6129032258064516
100,1,POINT (-93.28949201806189 44.96684837166487),3.0
100,2,POINT (-93.28631869089809 44.96460007075555),0.41935483870967744
100,3,POINT (-93.28552535910713 44.9674104468922),5.870967741935484
101,0,POINT (-93.28869868627092 44.96853459734685),5.67741935483871
101,1,POINT (-93.28949201806189 44.97134497348349),0.3870967741935484
101,2,POINT (-93.28631869089809 44.96909667257417),0.2903225806451613
101,3,POINT (-93.28631869089809 44.97134497348349),1.4838709677419355
102,0,POINT (-93.28949201806189 44.9735932743928),0.22580645161290322
102,1,POINT (-93.28949201806189 44.97584157530211),0.03225806451612903
102,2,POINT (-93.28631869089809 44.9735932743928),0.6129032258064516
102,3,POINT (-93.28631869089809 44.97584157530211),0.03225806451612903
103,0,POINT (-93.28949201806189 44.97808987621143),0.0
103,1,POINT (-93.28949201806189 44.98033817712074),1.7096774193548385
103,2,POINT (-93.28631869089809 44.97808987621143),1.032258064516129
103,3,POINT (-93.28631869089809 44.98033817712074),1.3225806451612903
104,0,POINT (-93.28949201806189 44.98258647803005),0.1935483870967742
104,1,POINT (-93.28949201806189 44.98483477893936),0.5806451612903225
104,2,POINT (-93.28631869089809 44.98258647803005),0.7741935483870968
104,3,POINT (-93.28631869089809 44.98483477893936),0.0
105,0,POINT (-93.28949201806189 44.98708307984867),0.3225806451612903
105,1,POINT (-93.28949201806189 44.98933138075797),0.5161290322580645
105,2,POINT (-93.28631869089809 44.98708307984867),0.22580645161290322
105,3,POINT (-93.28631869089809 44.98933138075797),0.03225806451612903
106,0,POINT (-93.28949201806189 44.9915796816673),0.12903225806451613
106,1,POINT (-93.28949201806189 44.9938279825766),0.0
106,2,POINT (-93.28631869089809 44.9915796816673),0.0
106,3,POINT (-93.28631869089809 44.9938279825766),0.0
